u,F,fracture_dissipation,l,a,Nl_Ntot
1.2012892328738045e-05,80.28697763724783,0.00020262813362154986,288590000.0,0.0007077419079638169,0.1937046004842615
1.202149727053073e-05,80.12858501050657,0.00020391134278292377,288020000.0,0.0007082171706161777,0.19491525423728814
1.2030470092787054e-05,79.97686248071697,0.00020516914537573538,287460000.0,0.0007086830234283301,0.19612590799031476
1.2039658640362467e-05,79.82634354485417,0.0002064286993908482,286910000.0,0.000709149524915409,0.1973365617433414
1.204888776339927e-05,79.67135082888164,0.0002077168554225506,286350000.0,0.0007096266197419653,0.19854721549636803
1.2057298490861194e-05,79.5120528926032,0.00020899844802522828,285760000.0,0.000710101283668883,0.19975786924939468
1.2065981866703145e-05,79.35369466961512,0.0002102850077759546,285190000.0,0.0007105777872802631,0.2009685230024213
1.2075259432409563e-05,79.20114586390547,0.0002115601019000153,284630000.0,0.0007110500443632486,0.20217917675544794
1.2084612316269554e-05,79.04832242236229,0.000212840127713533,284070000.0,0.0007115241279978848,0.2033898305084746
1.2093045840910016e-05,78.88833501263387,0.0002141279078722307,283490000.0,0.0007120010836122173,0.2046004842615012
1.2101829431551956e-05,78.73091551589171,0.0002154143178537442,282910000.0,0.0007124775317535186,0.20581113801452786
1.2110448674692949e-05,78.57339681276383,0.00021669452492533627,282340000.0,0.0007129516825207749,0.20702179176755447
1.2119002457681042e-05,78.41302899269839,0.00021798871582657454,281750000.0,0.0007134310124841965,0.20823244552058112
1.2127598004838623e-05,78.25628305545688,0.00021926255779397864,281180000.0,0.0007139028058054572,0.20944309927360774
1.2135956419162902e-05,78.09808894489898,0.00022053627468577732,280610000.0,0.0007143745528024197,0.2106537530266344
1.2144660282270163e-05,77.93932944742178,0.0002218272485996533,280030000.0,0.0007148526912890404,0.211864406779661
1.215321910260235e-05,77.78139347246885,0.000223107707666381,279450000.0,0.0007153269353878285,0.21307506053268765
1.2161417401928528e-05,77.6198191727041,0.0002243955485897382,278860000.0,0.0007158039135075904,0.21428571428571427
1.2169972924081596e-05,77.4638445380081,0.0002256629475700407,278290000.0,0.000716273320537332,0.21549636803874092
1.2178215731204904e-05,77.30810353477945,0.00022691689269738546,277730000.0,0.0007167377446585709,0.21670702179176757
1.2186814134606283e-05,77.15404933694792,0.0002281747248798689,277170000.0,0.000717203608429861,0.2179176755447942
1.2194771433755224e-05,76.99072992259423,0.00022946354933066316,276570000.0,0.0007176809508190441,0.21912832929782083
1.2202372669803374e-05,76.82325756390559,0.00023076287785055304,275960000.0,0.0007181621836041884,0.22033898305084745
1.2210140880672008e-05,76.6660042118621,0.00023200663669672105,275390000.0,0.0007186228350286952,0.2215496368038741
1.2218582328873797e-05,76.51317158493686,0.00023324864652654533,274830000.0,0.0007190828386693708,0.22276029055690072
1.222848223968806e-05,76.36883202374504,0.0002344957282570037,274310000.0,0.0007195447207917628,0.22397094430992737
1.2237219203038103e-05,76.2109786109151,0.00023578013235892105,273730000.0,0.0007200204260146951,0.22518159806295399
